rank,page_id,content_type,predicted_status,confidence,recommended_action,reason_codes,recent_avg_clicks,recent_avg_position,momentum_clicks_4v8,days_since_update
1,page_0572,blog,declining,0.5897907239858187,Refresh / rewrite,click momentum -20% vs prior 4wk; avg position slipped 2.2 spots; not updated in 1023d,2.0,36.4125,-0.2,1023
2,page_0531,product,declining,0.5684124014376473,Refresh / rewrite,click momentum -25% vs prior 4wk; avg position slipped 2.3 spots; not updated in 819d,2.25,27.9,-0.25,819
3,page_0394,guide,declining,0.5591419295159735,Refresh / rewrite,click momentum -25% vs prior 4wk; not updated in 645d; high week-to-week volatility,122.75,20.935,-0.2549317147192716,645
4,page_0208,blog,declining,0.5481005298689339,Refresh / rewrite,click momentum -24% vs prior 4wk; avg position slipped 2.2 spots; not updated in 975d,4.0,23.540000000000003,-0.23809523809523808,975
5,page_0532,blog,declining,0.5290314953542852,Refresh / rewrite,click momentum -17% vs prior 4wk; CTR trails position-expected by 0.6pp — metadata review candidate; not updated in 1062d,6.0,21.98,-0.1724137931034483,1062
6,page_0113,guide,declining,0.5243170788726903,Refresh / rewrite,click momentum -26% vs prior 4wk; CTR trails position-expected by 0.4pp — metadata review candidate; not updated in 613d,9.75,15.797500000000001,-0.2641509433962264,613
7,page_0257,blog,declining,0.521348314134324,Refresh / rewrite,CTR beats position-expected by 0.4pp; not updated in 879d,3.0,23.8875,0.0,879
8,page_0426,guide,declining,0.5052162106664482,Refresh / rewrite,click momentum -28% vs prior 4wk; avg position slipped 1.9 spots; not updated in 655d,4.5,19.875,-0.28,655
9,page_0197,guide,declining,0.5020029933425133,Refresh / rewrite,click momentum -17% vs prior 4wk; not updated in 1034d,44.0,23.654999999999998,-0.17370892018779344,1034
10,page_0054,landing,declining,0.49932582840269113,Refresh / rewrite,click momentum -27% vs prior 4wk; not updated in 607d,22.75,30.727500000000003,-0.2661290322580645,607
11,page_0284,guide,declining,0.49145253119363624,Refresh / rewrite,click momentum -19% vs prior 4wk; CTR beats position-expected by 0.7pp; not updated in 1015d,21.5,12.1,-0.18867924528301888,1015
12,page_0168,blog,declining,0.48988754583685956,Refresh / rewrite,click momentum -24% vs prior 4wk; not updated in 611d; high week-to-week volatility,7.25,17.86,-0.23684210526315788,611
13,page_0574,blog,declining,0.48362803206415883,Refresh / rewrite,click momentum -25% vs prior 4wk; not updated in 762d; high week-to-week volatility,0.75,26.1925,-0.25,762
14,page_0560,guide,declining,0.4783791894539626,Refresh / rewrite,click momentum -15% vs prior 4wk; not updated in 694d; high week-to-week volatility,2.75,26.872500000000002,-0.15384615384615385,694
15,page_0432,guide,declining,0.478163493922237,Refresh / rewrite,click momentum -18% vs prior 4wk; not updated in 858d,11.5,12.3825,-0.17857142857142858,858
16,page_0232,guide,declining,0.47800330279182,Refresh / rewrite,CTR beats position-expected by 0.8pp; not updated in 604d,4.5,14.67,0.0,604
17,page_0552,blog,declining,0.4725483380724317,Refresh / rewrite,click momentum -15% vs prior 4wk; CTR trails position-expected by 0.5pp — metadata review candidate,100.25,14.6275,-0.1522198731501057,343
18,page_0540,blog,declining,0.4712989691704127,Refresh / rewrite,click momentum -20% vs prior 4wk; CTR trails position-expected by 0.7pp — metadata review candidate; not updated in 811d,9.75,10.520000000000001,-0.20408163265306123,811
19,page_0480,blog,declining,0.4691394656569833,Refresh / rewrite,click momentum -16% vs prior 4wk; avg position slipped 1.6 spots; not updated in 623d,33.75,19.375,-0.16149068322981366,623
20,page_0158,landing,declining,0.4671263254126387,Refresh / rewrite,click momentum -19% vs prior 4wk; not updated in 785d,15.75,19.105,-0.19230769230769232,785
21,page_0374,blog,declining,0.4666451898439172,Refresh / rewrite,click momentum -20% vs prior 4wk; not updated in 768d; high week-to-week volatility,1.0,24.765,-0.2,768
22,page_0391,guide,declining,0.4656486804287019,Refresh / rewrite,click momentum -23% vs prior 4wk; CTR beats position-expected by 0.5pp; not updated in 992d,29.0,8.965,-0.22666666666666666,992
23,page_0246,blog,declining,0.4654364644057248,Refresh / rewrite,click momentum -21% vs prior 4wk; not updated in 603d; high week-to-week volatility,9.25,13.2875,-0.2127659574468085,603
24,page_0375,blog,declining,0.46456779173366053,Refresh / rewrite,click momentum -18% vs prior 4wk; avg position slipped 1.9 spots; not updated in 759d,33.25,11.552499999999998,-0.17901234567901234,759
25,page_0339,guide,declining,0.46445074802029357,Refresh / rewrite,click momentum -15% vs prior 4wk; not updated in 1060d; high week-to-week volatility,2.75,31.127499999999998,-0.15384615384615385,1060
26,page_0462,guide,declining,0.4594108050822919,Refresh / rewrite,click momentum -20% vs prior 4wk; avg position slipped 3.2 spots; CTR trails position-expected by 0.5pp — metadata review candidate,49.25,9.015,-0.19591836734693877,630
27,page_0039,guide,declining,0.45893701853401875,Refresh / rewrite,click momentum -24% vs prior 4wk; avg position slipped 1.8 spots; CTR trails position-expected by 0.5pp — metadata review candidate,17.5,17.737499999999997,-0.2391304347826087,637
28,page_0263,blog,declining,0.4577316538810862,Refresh / rewrite,click momentum -19% vs prior 4wk; CTR beats position-expected by 0.5pp; not updated in 696d,42.0,13.86,-0.18840579710144928,696
29,page_0440,product,declining,0.45505819908699574,Refresh / rewrite,click momentum -15% vs prior 4wk; CTR trails position-expected by 0.3pp — metadata review candidate; not updated in 806d,2.75,26.5,-0.15384615384615385,806
30,page_0035,guide,declining,0.4511741928059557,Refresh / rewrite,click momentum -20% vs prior 4wk; not updated in 604d,6.0,18.38,-0.2,604
31,page_0539,guide,declining,0.45016909532228666,Refresh / rewrite,click momentum -43% vs prior 4wk; CTR trails position-expected by 0.6pp — metadata review candidate; not updated in 1065d,1.0,22.042500000000004,-0.42857142857142855,1065
32,page_0331,guide,declining,0.45014711294206206,Refresh / rewrite,click momentum -22% vs prior 4wk; not updated in 948d; high week-to-week volatility,24.5,22.6375,-0.2222222222222222,948
33,page_0244,blog,declining,0.4489535267109513,Refresh / rewrite,click momentum -19% vs prior 4wk,20.5,3.2725,-0.18811881188118812,343
34,page_0402,product,declining,0.4437009713355483,Refresh / rewrite,click momentum -17% vs prior 4wk; CTR beats position-expected by 0.4pp; not updated in 621d,4.75,12.879999999999999,-0.17391304347826086,621
35,page_0381,blog,declining,0.4426742698946736,Refresh / rewrite,click momentum -20% vs prior 4wk; CTR trails position-expected by 0.4pp — metadata review candidate; not updated in 585d,1.0,24.65,-0.2,585
36,page_0192,blog,declining,0.4397129053662525,Refresh / rewrite,click momentum -30% vs prior 4wk; avg position slipped 2.5 spots; not updated in 779d,12.25,12.89,-0.3,779
37,page_0134,product,declining,0.4362237779683803,Refresh / rewrite,click momentum -23% vs prior 4wk; not updated in 1078d; high week-to-week volatility,6.75,17.9675,-0.22857142857142856,1078
38,page_0297,blog,declining,0.4352380201362974,Refresh / rewrite,click momentum -17% vs prior 4wk; not updated in 826d,23.5,17.7025,-0.168141592920354,826
39,page_0324,product,declining,0.42789018124861694,Refresh / rewrite,click momentum -20% vs prior 4wk; not updated in 976d,3.0,28.119999999999997,-0.2,976
40,page_0373,guide,declining,0.4277301787997507,Refresh / rewrite,click momentum -16% vs prior 4wk; CTR beats position-expected by 1.2pp; not updated in 660d,69.0,1.9249999999999998,-0.16109422492401215,660
41,page_0042,guide,declining,0.42612990908920784,Refresh / rewrite,click momentum -16% vs prior 4wk; CTR trails position-expected by 1.5pp — metadata review candidate; not updated in 624d,13.25,6.925,-0.15873015873015872,624
42,page_0006,product,declining,0.42314086544926993,Refresh / rewrite,click momentum -25% vs prior 4wk; not updated in 887d,69.25,18.63,-0.24728260869565216,887
43,page_0345,guide,declining,0.4230423738882436,Refresh / rewrite,click momentum -18% vs prior 4wk; CTR trails position-expected by 0.5pp — metadata review candidate; not updated in 861d,32.0,14.545000000000002,-0.18471337579617833,861
44,page_0195,blog,declining,0.4218972150907214,Refresh / rewrite,click momentum -22% vs prior 4wk; CTR trails position-expected by 0.9pp — metadata review candidate; not updated in 860d,76.75,13.0275,-0.22278481012658227,860
45,page_0452,landing,declining,0.41973278839851486,Refresh / rewrite,click momentum -17% vs prior 4wk; not updated in 1071d,16.25,5.285,-0.16666666666666666,1071
46,page_0475,guide,declining,0.4185119824174535,Refresh / rewrite,click momentum -43% vs prior 4wk; avg position slipped 2.8 spots; CTR trails position-expected by 0.3pp — metadata review candidate,1.0,29.737500000000004,-0.42857142857142855,754
47,page_0073,guide,declining,0.4168092727581131,Refresh / rewrite,click momentum -25% vs prior 4wk; not updated in 735d; high week-to-week volatility,1.5,24.022499999999997,-0.25,735
48,page_0198,product,declining,0.4157587816050968,Refresh / rewrite,click momentum -18% vs prior 4wk; CTR trails position-expected by 0.9pp — metadata review candidate; high week-to-week volatility,56.25,4.194999999999999,-0.18478260869565216,343
49,page_0031,product,declining,0.414506918196026,Refresh / rewrite,click momentum -15% vs prior 4wk; not updated in 793d,11.25,25.729999999999997,-0.1509433962264151,793
50,page_0055,guide,declining,0.41344600559191985,Refresh / rewrite,click momentum -21% vs prior 4wk; not updated in 883d,15.0,18.2525,-0.21052631578947367,883
51,page_0281,product,declining,0.41197574765472,Refresh / rewrite,click momentum -17% vs prior 4wk; CTR trails position-expected by 0.8pp — metadata review candidate; high week-to-week volatility,30.5,3.1174999999999997,-0.17006802721088435,343
52,page_0161,blog,declining,0.407984206917776,Refresh / rewrite,click momentum -39% vs prior 4wk; avg position slipped 2.0 spots; not updated in 853d,112.5,4.3225,-0.3869209809264305,853
53,page_0179,product,declining,0.40786571915075276,Refresh / rewrite,click momentum -16% vs prior 4wk; not updated in 708d,9.25,19.92,-0.1590909090909091,708
54,page_0276,blog,declining,0.40589378225457207,Refresh / rewrite,click momentum -17% vs prior 4wk; not updated in 893d,2.5,12.97,-0.16666666666666666,893
